1.1.1	vqxXirAxEc
3.1.28	gupUXUpavicCipaNipaniBya AyaH
3.1.29	qwerIyaf
3.1.30	kamerNif
3.1.31	AyAxaya ArXaxXAwuke vA
3.1.32	sanAxyanwA XAwavaH
3.1.33	syawAsI lqlutoH
3.1.34	sibbahulaM leti
3.1.35	kAsprawyayAxAmamanwre liti
3.1.36	ijAxeSca gurumawoZnqcCaH
3.1.37	xayAyAsaSca
3.1.38	uRavixajAgqByoZnyawarasyAm
3.1.39	BIhrIBqhuvAM Sluvacca
3.1.40	kqF cAnuprayujyawe liti
3.1.41	vixAfkurvanwviwyanyawarasyAm
3.1.42	aByuwsAxayAMprajanayAMcikayAMramayAmakaH
3.1.43	cli lufi
3.1.44	cleH sic
3.1.45	Sala igupaXAxanitaH ksaH
3.1.46	SliRa Alifgane
3.1.47	na xqSaH
3.1.48	NiSrixrusruByaH karwari caf
3.1.49	viBARA XetSvyoH
3.1.50	gupeSCanxasi
3.1.51	nonayawiXvanayawyelayawyarxayawiByaH
3.1.52	asyawivakwiKyAwiByaH af
3.1.53	lipisicihvaSca
3.1.54	AwmanepaxeRvanyawarasyAm
3.1.55	puRAxixyuwAxyLxiwaH parasmEpaxeRu
3.1.56	sarwwiSAswyarwiByaSca
3.1.57	iriwo vA
3.1.58	jqswamBumrucumlucugrucuglucugluFcuSviByaSca
3.1.59	kqmqxqruhiByaSCanxasi
3.1.60	ciN we paxaH
3.1.61	xIpajanabuXapUriwAyipyAyiByoZnyawarasyAm
3.1.62	acaH karmakarwari
3.1.63	xuhaSca
3.1.64	na ruXaH
3.1.65	wapoZnuwApe ca
3.1.66	ciN BAvakarmaNoH
3.1.67	sArvaXAwuke yak
3.1.68	karwari Sap‌
3.1.69	xivAxiByaH Syan
3.1.70	vA BrASaBlASaBramukramuklamuwrasiwrutilaRaH
3.1.71	yasoZnupasargAw‌
3.1.72	saMyasaSca
3.1.73	svAxiByaH SnuH
3.1.74	SruvaH Sq ca
3.1.75	akRoZnyawarasyAm
3.1.76	wanUkaraNe wakRaH
3.1.77	wuxAxiByaH SaH
3.1.78	ruXAxiByaH Snam
3.1.79	wanAxikqFBya uH
3.1.80	XinvikqNvyora ca
3.1.81	kryAxiByaH SnA
3.1.82	swamBuswumBuskamBuskumBuskuFByaH SnuSca
3.1.83	halaH SnaH SAnajJO
3.1.84	Canxasi SAyajapi
3.1.85	vyawyayo bahulam
3.1.86	lifyASiRyaf
3.1.87	karmavaw‌ karmaNA wulyakriyaH
3.1.88	wapaswapaHkarmakasyEva
3.1.89	na xuhasnunamAM yakciNO
3.1.90	kuRirajoH prAcAM Syan parasmEpaxaM ca
3.1.91	XAwoH
3.1.92	wawropapaxaM sapwamIsWam‌
3.1.93	kqxawif
3.1.94	vAZsarUpoZswriyAm
3.1.95	kqwyAH prAf NvulaH
3.1.96	wavyawwavyAnIyaraH
3.1.97	aco yaw‌
3.1.98	poraxupaXAw‌
3.1.99	SakisahoSca
3.1.100	gaxamaxacarayamaScAnupasarge
3.1.101	avaxyapaNyavaryA garhyapaNiwavyAniroXeRu
3.1.102	vahyaM karaNam‌
3.1.103	aryaH svAmivESyayoH
3.1.104	upasaryA kAlyA prajane
3.1.105	ajaryaM saMgawam‌
3.1.106	vaxaH supi kyap ca
3.1.107	Buvo BAve
3.1.108	hanaswa ca
3.1.109	ewiswuSasvqxqjuRaH kyap‌
3.1.110	qxupaXAccAkLpicqweH
3.1.111	I ca KanaH
3.1.112	BqFoZsaMjFAyAm
3.1.113	mqjerviBARA
3.1.114	rAjasUyasUryamqRoxyarucyakupyakqRtapacyAvyaWyAH
3.1.115	BixyoxXyO naxe
3.1.116	puRyasixXyO nakRawre
3.1.117	vipUyavinIyajiwyA muFjakalkahaliRu
3.1.118	prawyapiByAM graheSCanxasi
3.1.119	paxAsvEribAhyApakRyeRu ca
3.1.120	viBARA kqvqRoH
3.1.121	yugyaM ca pawwre
3.1.122	amAvasyaxanyawarasyAm
3.1.123	Canxasi niRtarkyaxevahUyapraNIyonnIyocCiRya
3.1.124	qhalorNyaw‌
3.1.125	orAvaSyake
3.1.126	AsuyuvapirapilapiwrapicamaSca
3.1.127	AnAyyoZniwye
3.1.128	praNAyyoZsaMmawO
3.1.129	pAyyasAnnAyyanikAyyaXAyyA mAnahavirnivAsasAmiXenIRu
3.1.130	krawO kuNdapAyyasaMcAyyO
3.1.131	agnO paricAyyopacAyyasamUhyAH
3.1.132	ciwyAgniciwye ca
3.1.133	NvulwqcO
3.1.134	nanxigrahipacAxiByo lyuNinyacaH
3.1.135	igupaXajFAprIkiraH kaH
3.1.136	AwaScopasarge
3.1.137	pAGrAXmAXetxqSaH SaH
3.1.138	anupasargAllimpavinxaXAripArivexyuxejicewisAwisAhiByaSca
3.1.139	xaxAwixaXAwyorviBARA
3.1.140	jvaliwikasanweByo NaH
3.1.141	SyAZZxvyaXAsrusaMsrvawINavasAZvahqlihaSliRaSvasaSca
3.1.142	xunyoranupasarge
3.1.143	viBARA graheH
3.1.144	gehe kaH
3.1.145	Silpini Rvun
3.1.146	gasWakan
3.1.147	Nyut ca
3.1.148	haSca vrIhikAlayoH
3.1.149	prusqlvaH samaBihAre vun
3.1.150	ASiRi ca
3.2.1	karmaNyaN
3.2.2	hvAvAmaSca
3.2.3	AwoZnupasarge kaH
3.2.4	supi sWaH
3.2.5	wunxaSokayoH parimqjApanuxoH
3.2.6	pre xAjFaH
3.2.7	sami KyaH
3.2.8	gApoRtak
3.2.9	haraweranuxyamaneZc
3.2.10	vayasi ca
3.2.11	Afi wAcCIlye
3.2.12	arhaH
3.2.13	swambakarNayoH ramijapoH
3.2.14	Sami XAwoH saMjFAyAm
3.2.15	aXikaraNe SeweH
3.2.16	careRtaH
3.2.17	BikRAsenAZZxAyeRu ca
3.2.18	puroZgrawoZgreRu sarweH
3.2.19	pUrve karwari
3.2.20	kqFo hewuwAcCIlyAnulomyeRu
3.2.21	xivAviBAniSApraBABAskarAnwAnanwAxibahunAnxIkimlipilibibaliBakwikarwqciwrakRewrasaMKyAjafGAbAhvaharyawwawXanuraruRRu
3.2.22	karmaNi BqwO
3.2.23	na SabxaSlokakalahagAWAvEracAtusUwramanwrapaxeRu
3.2.24	swambaSakqworin
3.2.25	harawerxqwinAWayoH paSO
3.2.26	PalegrahirAwmamBariSca
3.2.27	Canxasi vanasanarakRimaWAm
3.2.28	ejeH KaS
3.2.29	nAsikAswanayorXmAXetoH
3.2.30	nAdImuRtyoSca
3.2.31	uxi kUle rujivahoH
3.2.32	vahABre lihaH
3.2.33	parimANe pacaH
3.2.34	miwanaKe ca
3.2.35	viXvaruRoH wuxaH
3.2.36	asUryalalAtayorxqSiwapoH
3.2.37	ugrampaSyerammaxapANinXamASca
3.2.38	priyavaSe vaxaH Kac
3.2.39	xviRawparayoswApeH
3.2.40	vAci yamo vrawe
3.2.41	pUHsarvayorxArisahoH
3.2.42	sarvakUlABrakarIReRu kaRaH
3.2.43	meGarwiBayeRu kqFaH
3.2.44	kRemapriyamaxreZN ca
3.2.45	ASiwe BuvaH karaNaBAvayoH
3.2.46	saMjFAyAM BqwQvqjiXArisahiwapixamaH
3.2.47	gamaSca
3.2.48	anwAwyanwAXvaxUrapArasarvAnanweRu daH
3.2.49	ASiRi hanaH
3.2.50	ape kleSawamasoH
3.2.51	kumAraSIrRayorNiniH
3.2.52	lakRaNe jAyApawyoRtak
3.2.53	amanuRyakarwqke ca
3.2.54	SakwO haswikapAtayoH
3.2.55	pANiGawAdaGO Silpini
3.2.56	ADyasuBagasWUlapaliwanagnAnXapriyeRu cvyrWeRvacvO kqFaH karaNe Kyun
3.2.57	karwari BuvaH KiRNucKukaFO
3.2.58	spqSoZnuxake kvin
3.2.59	qwvigxaXqksragxiguRNigaFcuyujikruFcAM ca
3.2.60	wyaxAxiRu xqSoZnAlocane kaF ca
3.2.61	sawsUxviRaxruhaxuhayujavixaBixacCixajinIrAjAmupasargeZpi kvip‌
3.2.62	Bajo NviH
3.2.63	Canxasi sahaH
3.2.64	vahaSca
3.2.65	kavyapurIRapurIRyeRu Fyut
3.2.66	havyeZnanwaH pAxam
3.2.67	janasanaKanakramagamo vit
3.2.68	axoZnanne
3.2.69	kravye ca
3.2.70	xuhaH kab GaSca
3.2.71	manwre SvewavahOkWaSaspurodASo Nvin
3.2.72	ave yajaH
3.2.73	vijupe Canxasi
3.2.74	Awo maninkvanipvanipaSca
3.2.75	anyeByoZpi xqSyanwe
3.2.76	kvip ca
3.2.77	sWaH ka ca
3.2.78	supyajAwO NiniswAcCilye
3.2.79	karwaryupamAne
3.2.80	vrawe
3.2.81	bahulamABIkRNye
3.2.82	manaH
3.2.83	AwmamAne KaSca
3.2.84	BUwe
3.2.85	karaNe yajaH
3.2.86	karmaNi hanaH
3.2.87	brahmaBrUNavqwreRu kvip‌
3.2.88	bahulaM Canxasi
3.2.89	sukarmapApamanwrapuNyeRu kqFaH
3.2.90	some suFaH
3.2.91	agnO ceH
3.2.92	karmaNyagnyAKyAyAm
3.2.93	karmaNInirvikriyaH
3.2.94	xqSeH kvanip‌
3.2.95	rAjani yuXikqFaH
3.2.96	sahe ca
3.2.97	sapwamyAM janerdaH
3.2.98	paFcamyAmajAwO
3.2.99	upasarge ca saMjFAyAm
3.2.100	anO karmaNi
3.2.101	anyeRvapi xqSyawe
3.2.102	niRTA
3.2.103	suyajorfvanip‌
3.2.104	jIryawerawqn
3.2.105	Canxasi lit
3.2.106	litaH kAnajvA
3.2.107	kvasuSca
3.2.108	BARAyAM saxavasaSruvaH
3.2.109	upeyivAnanASvAnanUcAnaSca
3.2.110	luf
3.2.111	anaxyawane laf
3.2.112	aBijFAvacane lqt
3.2.113	na yaxi
3.2.114	viBARA sAkAfkRe
3.2.115	parokRe lit
3.2.116	haSaSvaworlaf ca
3.2.117	praSne cAsannakAle
3.2.118	lat sme
3.2.119	aparokRe ca
3.2.120	nanO pqRtaprawivacane
3.2.121	nanvorviBARA
3.2.122	puri luf cAsme
3.2.123	varwamAne lat
3.2.124	lataH SawqSAnacAvapraWamAsamAnAXikaraNe
3.2.125	samboXane ca
3.2.126	lakRaNahewvoH kriyAyAH
3.2.127	wO saw‌
3.2.128	pUfyajoH SAnan
3.2.129	wAcCIlyavayovacanaSakwiRu cAnaS
3.2.130	ifXAryoH SawrakqcCriNi
3.2.131	xviRoZmiwre
3.2.132	suFo yajFasaMyoge
3.2.133	arhaH pUjAyAm
3.2.134	AkveswacCIlawaxXarmawawsAXukAriRu
3.2.135	wqn
3.2.136	alaMkqFnirAkqFprajanowpacowpawonmaxarucyapawrapavqwuvqXusahacara iRNuc
3.2.137	NeSCanxasi
3.2.138	BuvaSca
3.2.139	glAjisWaSca ksnuH
3.2.140	wrasigqXiXqRikRipeH knuH
3.2.141	SamiwyaRtAByo GinuN
3.2.142	saMpqcAnuruXAfyamAfyasaparisqsaMsqjaparixevisaMjvaraparikRipaparirataparivaxaparixahaparimuhaxuRaxviRaxruhaxuhayujAkrIdavivicawyajarajaBajAwicarApacarAmuRAByAhanaSca
3.2.143	vO kaRalasakawWasramBaH
3.2.144	ape ca laRaH
3.2.145	pre lapasqxrumaWavaxavasaH
3.2.146	ninxahiMsakliSaKAxavinASaparikRipaparirataparivAxivyABARAsUFo vuF
3.2.147	xevikruSoScopasarge
3.2.148	calanaSabxArWAxakarmakAxyuc
3.2.149	anuxAwwewaSca halAxeH
3.2.150	jucafkramyaxanxramyasqgqXijvalaSucalaRapawapaxaH
3.2.151	kruXamaNdArWeByaSca
3.2.152	na yaH
3.2.153	sUxaxIpaxIkRaSca
3.2.154	laRapawapaxasWABUvqRahanakamagamaSQBya ukaF
3.2.155	jalpaBikRakuttaluNtavqfaH RAkan
3.2.156	prajoriniH
3.2.157	jixqkRiviSrINvamAvyaWAByamapariBUprasUByaSca
3.2.158	spqhigqhipawixayinixrAwanxrASraxXABya Aluc
3.2.159	xAXetsiSaxasaxo ruH
3.2.160	sqGasyaxaH kmarac
3.2.161	BaFjaBAsamixo Gurac
3.2.162	vixiBixicCixeH kurac
3.2.163	iNnaSjisarwwiByaH kvarap‌
3.2.164	gawvaraSca
3.2.165	jAgurUkaH
3.2.166	yajajapaxaSAM yafaH
3.2.167	namikampismyajasakamahiMsaxIpo raH
3.2.168	sanASaMsaBikRa uH
3.2.169	vinxuricCuH
3.2.170	kyAcCanxasi
3.2.171	AxqgamahanajanaH kikinO lit ca
3.2.172	svapiwqRornajif
3.2.173	SQvanxyorAruH
3.2.174	BiyaH kruklukanO
3.2.175	sWeSaBAsapisakaso varac
3.2.176	yaSca yafaH
3.2.177	BrAjaBAsaXurvixyuworjipQjugrAvaswuvaH kvip‌
3.2.178	anyeByoZpi xqSyawe
3.2.179	BuvaH saMjFAZnwarayoH
3.2.180	viprasamByo dvasaMjFAyAm
3.2.181	XaH karmaNi Rtran
3.2.182	xAmnISasayuyujaswuwuxasisicamihapawaxaSanahaH karaNe
3.2.183	halasUkarayoH puvaH
3.2.184	arwilUXUsUKanasahacara iwraH
3.2.185	puvaH saMjFAyAm
3.2.186	karwari carRixevawayoH
3.2.187	FIwaH kwaH
3.2.188	mawibuxXipUjArWeByaSca
3.3.1	uNAxayo bahulam
3.3.2	BUweZpi xqSyanwe
3.3.3	BaviRyawi gamyAxayaH
3.3.4	yAvawpurAnipAwayorlat
3.3.5	viBARA kaxAkarhyoH
3.3.6	kiMvqwwe lipsAyAm
3.3.7	lipsyamAnasixXO ca
3.3.8	lodarWalakRaNe ca
3.3.9	lif corXvamOhUrwike
3.3.10	wumunNvulO kriyAyAM kriyArWAyAm‌
3.3.11	BAvavacanASca
3.3.12	aN karmaNi ca
3.3.13	lqt SeRe ca
3.3.14	lqtaH sax vA
3.3.15	anaxyawane lut
3.3.16	paxarujaviSaspqSo GaF
3.3.17	sq sWire
3.3.18	BAve
3.3.19	akarwari ca kArake saMjFAyAm
3.3.20	parimaNAKyAyAM sarveByaH
3.3.21	ifaSca
3.3.22	upasarge ruvaH
3.3.23	sami yuxruxuvaH
3.3.24	SriNIBuvoZnupasarge
3.3.25	vO kRuSruvaH
3.3.26	avoxorniyaH
3.3.27	pre xruswusruvaH
3.3.28	niraByoH pUlvoH
3.3.29	unnyorgraH
3.3.30	kQ XAnye
3.3.31	yajFe sami swuvaH
3.3.32	pre swroZyajFe
3.3.33	praWane vAvaSabxe
3.3.34	CanxonAmni ca
3.3.35	uxi grahaH
3.3.36	sami muRtO
3.3.37	parinyornINorxyUwABreRayoH
3.3.38	parAvanupAwyaya iNaH
3.3.39	vyupayoH SeweH paryAye
3.3.40	haswAxAne cerasweye
3.3.41	nivAsaciwiSarIropasamAXAneRvAxeSca kaH
3.3.42	saMGe cAnOwwarAXarye
3.3.43	karmavyawihAre Nac swriyAm
3.3.44	aBiviXO BAva inuN
3.3.45	AkroSeZvanyorgrahaH
3.3.46	pre lipsAyAm
3.3.47	parO yajFe
3.3.48	nO vq XAnye
3.3.49	uxi SrayawiyOwipUxruvaH
3.3.50	viBARAZZfi rupluvoH
3.3.51	ave graho varRaprawibanXe
3.3.52	pre vaNijAm
3.3.53	raSmO ca
3.3.54	vqNowerAcCAxane
3.3.55	parO BuvoZvajFAne
3.3.56	erac
3.3.57	qxorap‌
3.3.58	grahavqxqniScigamaSca
3.3.59	upasargeZxaH
3.3.60	nO Na ca
3.3.61	vyaXajaporanupasarge
3.3.62	svanahasorvA
3.3.63	yamaH samupaniviRu
3.3.64	nO gaxanaxapaTasvanaH
3.3.65	kvaNo vINAyAM ca
3.3.66	niwyaM paNaH parimANe
3.3.67	maxoZnupasarge
3.3.68	pramaxasammaxO harRe
3.3.69	samuxorajaH paSuRu
3.3.70	akReRu glahaH
3.3.71	prajane sarweH
3.3.72	hvaH samprasAraNaM ca nyaByupaviRu
3.3.73	Afi yuxXe
3.3.74	nipAnamAhAvaH
3.3.75	BAveZnupasargasya
3.3.76	hanaSca vaXaH
3.3.77	mUrwO GanaH
3.3.78	anwarGano xeSe
3.3.79	agArEkaxeSe praGaNaH praGANaSca
3.3.80	uxGanoZwyAXAnam
3.3.81	apaGanoZfgam
3.3.82	karaNeZyovixruRu
3.3.83	swambe ka ca
3.3.84	parO GaH
3.3.85	upaGna ASraye
3.3.86	saMGoxGO gaNapraSaMsayoH
3.3.87	niGo nimiwam
3.3.88	dviwaH kwriH
3.3.89	tviwoZWuc
3.3.90	yajayAcayawavicCapracCarakRo naf
3.3.91	svapo nan
3.3.92	upasarge GoH kiH
3.3.93	karmaNyaXikaraNe ca
3.3.94	swriyAM kwin
3.3.95	sWAgApApacAM BAve
3.3.96	manwre vqReRapacamanavixaBUvIrA uxAwwaH
3.3.97	UwiyUwijUwisAwihewikIrwayaSca
3.3.98	vrajayajorBAve kyap‌
3.3.99	saMjFAyAM samajaniRaxanipawamanavixaRuFSIfBqFiNaH
3.3.100	kqFaH Sa ca
3.3.101	icCA
3.3.102	a prawyayAw‌
3.3.103	guroSca halaH
3.3.104	RixBixAxiByoZf
3.3.105	cinwipUjikaWikumbicarcaSca
3.3.106	AwaScopasarge
3.3.107	NyAsaSranWo yuc
3.3.108	rogAKyAyAM Nvul bahulam
3.3.109	saMjFAyAm
3.3.110	viBARAZZKyAnaparipraSnayoriF ca
3.3.111	paryAyArharNowpawwiRu Nvuc
3.3.112	AkroSe naFyaniH
3.3.113	kqwyalyuto bahulam
3.3.114	napuMsake BAve kwaH
3.3.115	lyut ca
3.3.116	karmaNi ca yena saMsparSAw‌ karwuH SarIrasuKam
3.3.117	karaNAXikaraNayoSca
3.3.118	puMsi saMjFAyAM GaH prAyeNa
3.3.119	gocarasaMcaravahavrajavyajApaNanigamASca
3.3.120	ave wQswrorGaF
3.3.121	halaSca
3.3.122	aXyAyanyAyoxyAvasaMhArAXArAvayASca
3.3.123	uxafkoZnuxake
3.3.124	jAlamAnAyaH
3.3.125	Kano Ga ca
3.3.126	IRaxxuHsuRu kqcCrAkqcCrArWeRu Kal
3.3.127	karwqkarmaNoSca BUkqFoH
3.3.128	Awo yuc
3.3.129	Canxasi gawyarWeByaH
3.3.130	anyeByoZpi xqSyawe
3.3.131	varwamAnasAmIpye varwamAnavaxvA
3.3.132	ASaMsAyAM BUwavacca
3.3.133	kRipravacane lqt
3.3.134	ASaMsAvacane lif
3.3.135	nAnaxyawanavaw‌ kriyAprabanXasAmIpyayoH
3.3.136	BaviRyawi maryAxAvacaneZvarasmin
3.3.137	kAlaviBAge cAnahorAwrANAm
3.3.138	parasmin viBARA
3.3.139	lif‌nimiwwe lqf kriyAZwipawwO
3.3.140	BUwe ca
3.3.141	vowApyoH
3.3.142	garhAyAM ladapijAwvoH
3.3.143	viBARA kaWami lif ca
3.3.144	kiMvqwwe liflqtO
3.3.145	anavakLpwyamarRayorakiMvqwwe api
3.3.146	kiMkilAswyarWeRu lqt
3.3.147	jAwuyaxorlif
3.3.148	yaccayawrayoH
3.3.149	garhAyAM ca
3.3.150	ciwrIkaraNe ca
3.3.151	SeRe lqdayaxO
3.3.152	uwApyoH samarWayorlif
3.3.153	kAmapravexaneZkacciwi
3.3.154	samBavAneZlamiwi cew‌ sixXAprayoge
3.3.155	viBARA XAwO samBAvanavacaneZyaxi
3.3.156	hewuhewumaworlif
3.3.157	icCArWeRu liflotO
3.3.158	samAnakarwqkeRu wumun
3.3.159	lif ca
3.3.160	icCArWeByo viBARA varwamAne
3.3.161	viXiniman‍wraNAman‍wraNAXIR‍tasaMpraS‍naprArWaneRu lif
3.3.162	lot ca
3.3.163	prERAwisargaprApwakAleRu kqwyASca
3.3.164	lif corXvamOhUrwike
3.3.165	sme lot
3.3.166	aXIRte ca
3.3.167	kAlasamayavelAsu wumun
3.3.168	lif yaxi
3.3.169	arhe kqwyawqcaSca
3.3.170	AvaSyakAXamarNyayorNiniH
3.3.171	kqwyASca
3.3.172	Saki lif ca
3.3.173	ASiRi liflotO
3.3.174	kwickwO ca saMjFAyAm
3.3.175	mAfi luf
3.3.176	smowware laf ca
3.4.1	XAwusambanXe prawyayAH
3.4.2	kriyAsamaBihAre lot; loto hisvO; vA ca waXvamoH
3.4.3	samuccayeZnyawarasyAm
3.4.4	yaWAviXyanuprayogaH pUrvasmin
3.4.5	samuccaye sAmAnyavacanasya
3.4.6	Canxasi luflaflitaH
3.4.7	lifarWe let
3.4.8	upasaMvAxASafkayoSca
3.4.9	wumarWe sesenaseasenksekasenaXyEaXyEnkaXyEkaXyEnSaXyESaXyEnwavEwavefwavenaH
3.4.10	prayE rohiRyE avyaWiRyE
3.4.11	xqSe viKye ca
3.4.12	Saki NamulkamulO
3.4.13	ISvare wosunkasunO
3.4.14	kqwyArWe wavEkenkenyawvanaH
3.4.15	avacakRe ca
3.4.16	BAvalakRaNe sWeNkqFvaxicarihuwamijaniByaswosun
3.4.17	sqpiwqxoH kasun
3.4.18	alafKalvoH prawiReXayoH prAcAM kwvA
3.4.19	uxIcAM mAfo vyawIhAre
3.4.20	parAvarayoge ca
3.4.21	samAnakarwqkayoH pUrvakAle
3.4.22	ABIkRNye Namul ca
3.4.23	na yaxyanAkAfkRe
3.4.24	viBARAZgrepraWamapUrveRu
3.4.25	karmaNyAkroSe kqFaH KamuF
3.4.26	svAxumi Namul
3.4.27	anyaWEvaMkaWamiwWaMsu sixXAprayogaScew‌
3.4.28	yaWAwaWayorasUyAprawivacane
3.4.29	karmaNi xqSivixoH sAkalye
3.4.30	yAvawi vinxajIvoH
3.4.31	carmoxarayoH pUreH
3.4.32	varRapramANa UlopaScAsyAnyawarasyAm
3.4.33	cele knopeH
3.4.34	nimUlasamUlayoH kaRaH
3.4.35	SuRkacUrNarUkReRu piRaH
3.4.36	samUlAkqwajIveRu hankqFgrahaH
3.4.37	karaNe hanaH
3.4.38	snehane piRaH
3.4.39	haswe varwwigrahoH
3.4.40	sve puRaH
3.4.41	aXikaraNe banXaH
3.4.42	saMjFAyAm
3.4.43	karwrorjIvapuruRayornaSivahoH
3.4.44	UrXve SuRipUroH
3.4.45	upamAne karmaNi ca
3.4.46	kaRAxiRu yaWAviXyanuprayogaH
3.4.47	upaxaMSaswqwIyAyAm
3.4.48	hiMsArWAnAM ca samAnakarmakANAm
3.4.49	sapwamyAM copapIdaruXakarRaH
3.4.50	samAsawwO
3.4.51	pramANe ca
3.4.52	apAxAne parIpsAyAm
3.4.53	xviwIyAyAM ca
3.4.54	svAfgeZXruve
3.4.55	parikliSyamAne ca
3.4.56	viSipawipaxiskanxAM vyApyamAnAsevyamAnayoH
3.4.57	asyawiwqRoH kriyAZnware kAleRu
3.4.58	nAmnyAxiSigrahoH
3.4.59	avyayeZyaWABiprewAKyAne kqFaH kwvANamulO
3.4.60	wiryacyapavarge
3.4.61	svAfge wasprawyaye kqBvoH
3.4.62	nAXAZrWaprawyaye cvyarWe
3.4.63	wURNImi BuvaH
3.4.64	anvacyAnulomye
3.4.65	ZSakaXqRajFAglAGataraBalaBakramasahArhAswyarWeRu wumun
3.4.66	paryApwivacaneRvalamarWeRu
3.4.67	karwari kqw‌
3.4.68	BavyageyapravacanIyopasWAnIyajanyAplAvyApAwyA vA
3.4.69	laH karmaNi ca BAve cAkarmakeByaH.
3.4.70	wayoreva kqwyakwaKalarWAH
3.4.71	axikarmaNi kwaH karwari ca
3.4.72	gawyarWAkarmakaSliRaSIfsWAZZsavasajanaruhajIryawiByaSca
3.4.73	xASagoGnO sampraxAne
3.4.74	BImAxayoZpAxAne
3.4.75	wAByAmanyawroNAxayaH
3.4.76	kwoZXikaraNe ca XrOvyagawiprawyavasAnArWeByaH
3.4.77	lasya
3.4.78	wipwasJisipWasWamibvasmas wAwAMJaWAsAWAMXvamidvahimahif
3.4.79	tiwa AwmanepaxAnAM tere
3.4.80	WAsasse
3.4.81	litaswaJayoreSirec
3.4.82	parasmEpaxAnAM NalawususWalaWusaNalvamAH
3.4.83	vixo lato vA
3.4.84	bruvaH paFcAnAmAxiwa Aho bruvaH
3.4.85	loto lafvaw‌
3.4.86	eruH
3.4.87	serhyapicca
3.4.88	vA Canxasi
3.4.89	merniH
3.4.90	AmewaH
3.4.91	savAByAM vAmO
3.4.92	Aduwwamasya picca
3.4.93	ewa E
3.4.94	letoZdAtO
3.4.95	Awa E
3.4.96	vEwoZnyawra
3.4.97	iwaSca lopaH parasmEpaxeRu
3.4.98	sa uwwamasya
3.4.99	niwyaM fiwaH
3.4.100	iwaSca
3.4.101	wasWasWamipAM wAMwaMwAmaH
3.4.102	lifassIyut
3.4.103	yAsut parasmEpaxeRUxAwwo ficca
3.4.104	kixASiRi
3.4.105	Jasya ran
3.4.106	itoZw‌
3.4.107	sut wiWoH
3.4.108	Jerjus
3.4.109	sijaByaswavixiByaH ca
3.4.110	AwaH
3.4.111	lafaH SAkatAyanasyEva
3.4.112	xviRaSca
3.4.113	wifSiwsArvaXAwukam
3.4.114	ArxXaXAwukaM SeRaH
3.4.115	lit ca
3.4.116	lifASiRi
3.4.117	CanxasyuBayaWA
4.1.1	fyApprAwipaxikAw‌
4.1.2	svOjasamOtCaRtAByAmBisfeByAmByasfasiByAmByasfasosAmfyossup‌
4.1.3	swriyAm
4.1.4	ajAxyawaRtAp‌
4.1.5	qnneByo fIp‌
4.1.6	ugiwaSca
4.1.7	vano ra ca
4.1.8	pAxoZnyawarasyAm
4.1.9	tAbqci
4.1.10	na RatsvasrAxiByaH
4.1.11	manaH
4.1.12	ano bahuvrIheH
4.1.13	dAbuBAByAmanyawarasyAm‌
4.1.14	anupasarjanAw‌
4.1.15	tidDANaFxvayasajxaGnaFmAwracwayapTakTaFkaFkvarapaH
4.1.16	yaFaSca
4.1.17	prAcAM RPa waxXiwaH
4.1.18	sarvawra lohiwAxikawAnweByaH
4.1.19	kOravyamANdUkAByAM ca
4.1.20	vayasi praWame
4.1.21	xvigoH
4.1.22	aparimANabiswAciwakambalyeByo na waxXiwaluki
4.1.23	kANdAnwAw‌ kRewre
4.1.24	puruRAw‌ pramANeZnyawarasyAm
4.1.25	bahuvrIherUXaso fIR.
4.1.26	saMKyAZvyayAxerfIp‌
4.1.27	xAmahAyanAnwAcca
4.1.28	ana upaXAlopinonyawarasyAm
4.1.29	niwyaM saMjFACanxasoH
4.1.30	kevalamAmakaBAgaXeyapApAparasamAnAryakqwa-sumafgalaBeRajAcca
4.1.31	rAwreScAjasO
4.1.32	anwarvawpawivawornuk
4.1.33	pawyurno yajFasaMyoge
4.1.34	viBARA sapUrvasya
4.1.35	niwyaM sapawnyAxiRu
4.1.36	pUwakraworE ca
4.1.37	vqRAkapyagnikusiwakusIxAnAmuxAwwaH
4.1.38	manorO vA
4.1.39	varNAxanuxAwwAwwopaXAwwo naH
4.1.40	anyawo fIR.
4.1.41	RixgOrAxiByaSca
4.1.42	jAnapaxakuNdagoNasWalaBAjanAgakAlanIlakuSakAmukakabarAxvqwwyamawrAvapanAkqwrimASrANAsWOlyavarNAnAcCAxanAyovikAramEWunecCAkeSaveSeRu
4.1.43	SoNAw‌ prAcAm
4.1.44	vowo guNavacanAw‌
4.1.45	bahvAxiByaSca
4.1.46	niwyaM Canxasi
4.1.47	BuvaSca
4.1.48	puMyogAxAKyAyAm
4.1.49	inxravaruNaBavaSarvaruxramqdahimAraNyayavayavanamAwulAcAryANAmAnuk
4.1.50	krIwAw‌ karaNapUrvAw‌
4.1.51	kwAxalpAKyAyAm
4.1.52	bahuvrIheScAnwoxAwwAw‌
4.1.53	asvAfgapUrvapaxAxvA
4.1.54	svAfgAccopasarjanAxasaMyogopaXAw‌
4.1.55	nAsikoxarORTajafGAxanwakarNaSqfgAcca
4.1.56	na krodAxibahvacaH
4.1.57	sahanaFvixyamAnapUrvAcca
4.1.58	naKamuKAw‌ saMjFAyAm
4.1.59	xIrGajihvI ca cCanxasi
